,Tags,Time,Score
0,Clicking,011.375,"{'Speech': 0.9865, 'Child speech, kid speaking': 0.0013, 'Conversation': 0.018, 'Narration, monologue': 0.017, 'Speech synthesizer': 0.0008, 'Music': 1e-04, 'Musical instrument': 1e-04, 'Wind instrument, woodwind instrument': 1e-04, 'Clicking': 1e-04, 'Silence': 0.0002, 'Inside, small room': 0.0201, 'Inside, large room or hall': 0.0015, 'Outside, rural or natural': 1e-04}
"
1,Clicking,014.575,"{'Speech': 0.9976, 'Child speech, kid speaking': 1e-04, 'Conversation': 0.0002, 'Narration, monologue': 0.0024, 'Music': 1e-04, 'Vehicle': 1e-04, 'Clicking': 1e-04, 'Inside, small room': 0.0021, 'Inside, large room or hall': 0.0006, 'Outside, urban or manmade': 0.0002, 'Outside, rural or natural': 0.0002}
"
2,Clicking,024.175,"{'Speech': 0.9896, 'Child speech, kid speaking': 0.0005, 'Conversation': 0.0089, 'Narration, monologue': 0.0144, 'Speech synthesizer': 0.0007, 'Whispering': 0.0008, 'Tap': 1e-04, 'Typing': 0.0003, 'Computer keyboard': 0.0002, 'Writing': 0.0061, 'Tools': 1e-04, 'Liquid': 1e-04, 'Spray': 1e-04, 'Clicking': 0.0015, 'Silence': 0.0005, 'Inside, small room': 0.0111, 'Inside, large room or hall': 0.0011}
"
3,Clicking,025.775,"{'Speech': 0.1649, 'Child speech, kid speaking': 0.0002, 'Conversation': 1e-04, 'Narration, monologue': 0.0054, 'Speech synthesizer': 0.0005, 'Whispering': 0.0006, 'Tap': 1e-04, 'Typing': 0.0002, 'Computer keyboard': 1e-04, 'Writing': 1e-04, 'Tick': 1e-04, 'Clicking': 0.0254, 'Silence': 0.4055, 'Sound effect': 1e-04, 'Inside, small room': 0.0076, 'Inside, large room or hall': 0.0002}
"
4,Clicking,026.175,"{'Speech': 0.9548, 'Child speech, kid speaking': 0.0006, 'Conversation': 0.0007, 'Narration, monologue': 0.0014, 'Speech synthesizer': 1e-04, 'Whispering': 1e-04, 'Musical instrument': 1e-04, 'Percussion': 1e-04, 'Tap': 1e-04, 'Typing': 0.0008, 'Computer keyboard': 0.0007, 'Writing': 1e-04, 'Tick': 1e-04, 'Clicking': 0.0092, 'Silence': 0.0003, 'Inside, small room': 0.0193, 'Inside, large room or hall': 0.0003}
"
5,Clicking,028.975,"{'Speech': 0.9061, 'Child speech, kid speaking': 0.0018, 'Conversation': 0.0046, 'Narration, monologue': 0.0142, 'Speech synthesizer': 0.0038, 'Whispering': 1e-04, 'Singing': 1e-04, 'Animal': 1e-04, 'Domestic animals, pets': 1e-04, 'Music': 0.0002, 'Musical instrument': 0.0003, 'Plucked string instrument': 0.0003, 'Guitar': 0.0003, 'Electric guitar': 1e-04, 'Acoustic guitar': 1e-04, 'Strum': 1e-04, 'Ukulele': 1e-04, 'Keyboard (musical)': 1e-04, 'Piano': 1e-04, 'Synthesizer': 1e-04, 'Percussion': 1e-04, 'Drum': 1e-04, 'Bowed string instrument': 0.0002, 'Violin, fiddle': 0.0003, 'Electronic music': 1e-04, 'Background music': 1e-04, 'Door': 0.0002, 'Tap': 0.0004, 'Typing': 1e-04, 'Computer keyboard': 1e-04, 'Writing': 0.0003, 'Mechanisms': 1e-04, 'Clock': 1e-04, 'Tick': 1e-04, 'Tick-tock': 1e-04, 'Tools': 0.0003, 'Spray': 1e-04, 'Effects unit': 1e-04, 'Clicking': 0.0204, 'Silence': 0.0261, 'Sound effect': 0.0003, 'Inside, small room': 0.0152, 'Inside, large room or hall': 0.0018, 'Outside, urban or manmade': 1e-04, 'Outside, rural or natural': 0.0002, 'Noise': 1e-04, 'Television': 0.0002, 'Radio': 0.0003}
"
6,Clicking,035.775,"{'Speech': 0.9896, 'Child speech, kid speaking': 1e-04, 'Conversation': 0.0008, 'Narration, monologue': 0.0051, 'Speech synthesizer': 0.0015, 'Musical instrument': 1e-04, 'Plucked string instrument': 1e-04, 'Guitar': 1e-04, 'Acoustic guitar': 1e-04, 'Strum': 1e-04, 'Alarm': 1e-04, 'Mechanisms': 1e-04, 'Clock': 1e-04, 'Tick': 1e-04, 'Tick-tock': 1e-04, 'Tools': 1e-04, 'Clicking': 0.0027, 'Silence': 0.0002, 'Inside, small room': 0.0103, 'Inside, large room or hall': 0.0004, 'Outside, urban or manmade': 1e-04, 'Outside, rural or natural': 0.0002, 'Television': 1e-04, 'Radio': 0.0007}
"
7,Clicking,036.175,"{'Speech': 0.994, 'Conversation': 0.0002, 'Narration, monologue': 0.0056, 'Speech synthesizer': 0.0012, 'Plucked string instrument': 1e-04, 'Guitar': 1e-04, 'Clicking': 0.0049, 'Silence': 1e-04, 'Inside, small room': 0.0047, 'Inside, large room or hall': 0.0004, 'Outside, rural or natural': 1e-04, 'Radio': 1e-04}
"
8,Clicking,044.175,"{'Speech': 0.9881, 'Child speech, kid speaking': 0.0002, 'Conversation': 0.0011, 'Narration, monologue': 0.0068, 'Speech synthesizer': 0.0019, 'Musical instrument': 1e-04, 'Percussion': 1e-04, 'Door': 1e-04, 'Tap': 0.0003, 'Typing': 0.0005, 'Computer keyboard': 0.0003, 'Writing': 1e-04, 'Alarm': 1e-04, 'Telephone': 0.0002, 'Mechanisms': 1e-04, 'Clock': 0.0003, 'Tick': 0.0003, 'Tick-tock': 0.0003, 'Tools': 0.0003, 'Clicking': 0.0376, 'Silence': 0.0005, 'Sound effect': 1e-04, 'Inside, small room': 0.0116, 'Inside, large room or hall': 0.0004, 'Outside, rural or natural': 1e-04, 'Radio': 0.0004}
"
9,Clicking,046.975,"{'Speech': 0.9759, 'Conversation': 1e-04, 'Narration, monologue': 0.002, 'Speech synthesizer': 0.0003, 'Musical instrument': 0.0002, 'Plucked string instrument': 1e-04, 'Guitar': 1e-04, 'Percussion': 1e-04, 'Typing': 0.0061, 'Computer keyboard': 0.0042, 'Mechanisms': 1e-04, 'Clock': 0.0004, 'Tick': 0.0004, 'Tick-tock': 0.0004, 'Tools': 1e-04, 'Clicking': 0.0096, 'Silence': 1e-04, 'Sound effect': 1e-04, 'Inside, small room': 0.0037, 'Inside, large room or hall': 1e-04, 'Radio': 1e-04}
"
