Start Time, End Time, Audio Tags
0.0,0.975,Music=0.9&Television=0.1
0.4,1.375,Music=1.0&Sad music=0.1
0.8,1.775,Music=1.0&Sad music=0.1
1.2000000000000002,2.1750000000000003,Music=1.0
1.6,2.575,Music=0.8
2.0,2.975,Music=0.3&Silence=0.1
2.4000000000000004,3.3750000000000004,Music=0.1&Silence=0.4
2.8000000000000003,3.7750000000000004,Silence=0.5
3.2,4.175,Silence=1.0
3.6,4.575,Silence=1.0
4.0,4.975,Silence=1.0
4.4,5.375,Percussion=0.1&Silence=0.8
4.800000000000001,5.775,Music=0.1&Sonar=0.2&Sine wave=0.1&Sound effect=0.1
5.2,6.175,Music=0.2&Sonar=0.2&Sine wave=0.1&Chirp tone=0.1
5.6000000000000005,6.575,Music=0.2&Sonar=0.1&Chirp tone=0.1
6.0,6.975,Music=0.1&Sonar=0.1&Sine wave=0.1&Chirp tone=0.2&Sound effect=0.1
6.4,7.375,Music=0.1&Sonar=0.1&Sound effect=0.1
6.800000000000001,7.775,Music=0.2&Sonar=0.1&Sine wave=0.1&Sound effect=0.1
7.2,8.175,Heart sounds| heartbeat=0.1&Heart murmur=0.1&Music=0.1&Sonar=0.1&Sound effect=0.1
7.6000000000000005,8.575000000000001,Animal=0.1&Livestock| farm animals| working animals=0.1&Fowl=0.1&Turkey=0.6&Gobble=0.4&Alarm=0.1&Telephone=0.1&Sound effect=0.1
8.0,8.975,Music=0.3&Sonar=0.1
8.4,9.375,Whale vocalization=0.1&Music=0.1
8.8,9.775,Outside| rural or natural=0.1
9.200000000000001,10.175,Heart sounds| heartbeat=0.1&Heart murmur=0.1&Music=0.1&Sonar=0.4&Arrow=0.1&Whoosh| swoosh| swish=0.2&Sound effect=0.1&Outside| rural or natural=0.1&White noise=0.1
9.600000000000001,10.575000000000001,Water=0.2&Stream=0.2&Ocean=0.1&Gurgling=0.3&Vehicle=0.1&Boat| Water vehicle=0.3&Rowboat| canoe| kayak=0.2&Liquid=0.1&Pour=0.1&Trickle| dribble=0.1&Outside| rural or natural=0.1
10.0,10.975,Water=0.2&Stream=0.2&Gurgling=0.2&Vehicle=0.2&Boat| Water vehicle=0.5&Rowboat| canoe| kayak=0.5
10.4,11.375,Water=0.1&Stream=0.1&Gurgling=0.1&Vehicle=0.5&Boat| Water vehicle=0.7&Rowboat| canoe| kayak=0.8
10.8,11.775,Water=0.2&Stream=0.2&Gurgling=0.2&Vehicle=0.2&Boat| Water vehicle=0.6&Rowboat| canoe| kayak=0.6&Liquid=0.1&Pour=0.1&Trickle| dribble=0.1
11.200000000000001,12.175,Water=0.2&Stream=0.3&Gurgling=0.2&Boat| Water vehicle=0.2&Rowboat| canoe| kayak=0.2&Liquid=0.1&Pour=0.2&Trickle| dribble=0.1
11.600000000000001,12.575000000000001,Water=0.3&Stream=0.2&Gurgling=0.3&Vehicle=0.1&Boat| Water vehicle=0.4&Rowboat| canoe| kayak=0.4&Liquid=0.1&Pour=0.2&Trickle| dribble=0.1
12.0,12.975,Water=0.2&Stream=0.1&Gurgling=0.2&Vehicle=0.2&Boat| Water vehicle=0.6&Rowboat| canoe| kayak=0.4&Liquid=0.1&Pour=0.2&Trickle| dribble=0.1
12.4,13.375,Whale vocalization=0.4&Water=0.1&Gurgling=0.2
12.8,13.775,Water=0.2&Stream=0.1&Gurgling=0.2&Vehicle=0.1&Boat| Water vehicle=0.3&Rowboat| canoe| kayak=0.1&Pour=0.1
